Fra:2 Mem:296.49M (Peak 296.49M) | Time:00:03.05 | Syncing Cylinder.139
Fra:2 Mem:296.95M (Peak 296.95M) | Time:00:03.05 | Syncing Cylinder.140
Fra:2 Mem:297.44M (Peak 297.44M) | Time:00:03.06 | Syncing Plane.168
Fra:2 Mem:297.46M (Peak 297.46M) | Time:00:03.06 | Syncing Plane.169
Fra:2 Mem:297.47M (Peak 297.47M) | Time:00:03.06 | Syncing Plane.170
Fra:2 Mem:297.49M (Peak 297.49M) | Time:00:03.06 | Syncing Plane.177
Fra:2 Mem:297.51M (Peak 297.51M) | Time:00:03.06 | Syncing Plane.178
Fra:2 Mem:297.52M (Peak 297.52M) | Time:00:03.06 | Syncing Plane.179
Fra:2 Mem:297.54M (Peak 297.54M) | Time:00:03.06 | Syncing Plane.228
Fra:2 Mem:297.56M (Peak 297.56M) | Time:00:03.06 | Syncing Plane.229
Fra:2 Mem:297.58M (Peak 297.58M) | Time:00:03.06 | Syncing Plane.230
Fra:2 Mem:297.59M (Peak 297.59M) | Time:00:03.06 | Syncing Plane.237
Fra:2 Mem:297.61M (Peak 297.61M) | Time:00:03.06 | Syncing Plane.238
Fra:2 Mem:297.63M (Peak 297.63M) | Time:00:03.06 | Syncing Plane.239
Fra:2 Mem:297.64M (Peak 297.64M) | Time:00:03.06 | Syncing Plane.288
Fra:2 Mem:297.66M (Peak 297.66M) | Time:00:03.06 | Syncing Plane.289
Fra:2 Mem:297.68M (Peak 297.68M) | Time:00:03.07 | Syncing Plane.290
Fra:2 Mem:297.70M (Peak 297.70M) | Time:00:03.07 | Syncing Plane.297
Fra:2 Mem:297.71M (Peak 297.71M) | Time:00:03.07 | Syncing Plane.298
Fra:2 Mem:297.73M (Peak 297.73M) | Time:00:03.07 | Syncing Plane.299
Fra:2 Mem:297.75M (Peak 297.75M) | Time:00:03.07 | Syncing Plane.348
Fra:2 Mem:297.76M (Peak 297.76M) | Time:00:03.07 | Syncing Plane.349
Fra:2 Mem:297.78M (Peak 297.78M) | Time:00:03.07 | Syncing Plane.350
Fra:2 Mem:297.80M (Peak 297.80M) | Time:00:03.07 | Syncing Plane.357
Fra:2 Mem:297.85M (Peak 297.85M) | Time:00:03.07 | Syncing Plane.358
Fra:2 Mem:297.86M (Peak 297.86M) | Time:00:03.07 | Syncing Plane.359
Fra:2 Mem:297.88M (Peak 297.88M) | Time:00:03.07 | Syncing Plane.408
Fra:2 Mem:297.90M (Peak 297.90M) | Time:00:03.07 | Syncing Plane.409
Fra:2 Mem:297.92M (Peak 297.92M) | Time:00:03.07 | Syncing Plane.410
Fra:2 Mem:297.93M (Peak 297.93M) | Time:00:03.07 | Syncing Plane.417
Fra:2 Mem:297.95M (Peak 297.95M) | Time:00:03.07 | Syncing Plane.418
Fra:2 Mem:297.97M (Peak 297.97M) | Time:00:03.07 | Syncing Plane.419
Fra:2 Mem:297.99M (Peak 297.99M) | Time:00:03.07 | Syncing Cylinder.141
Fra:2 Mem:298.47M (Peak 298.47M) | Time:00:03.08 | Syncing Cube.004
Fra:2 Mem:298.49M (Peak 298.49M) | Time:00:03.08 | Syncing Cylinder.142
Fra:2 Mem:298.98M (Peak 298.98M) | Time:00:03.09 | Syncing Cylinder.143
Fra:2 Mem:299.47M (Peak 299.47M) | Time:00:03.11 | Syncing Cylinder.144
Fra:2 Mem:299.95M (Peak 299.95M) | Time:00:03.11 | Syncing Cylinder.145
Fra:2 Mem:300.44M (Peak 300.44M) | Time:00:03.12 | Syncing Cylinder.146
Fra:2 Mem:300.93M (Peak 300.93M) | Time:00:03.13 | Syncing Cylinder.147
Fra:2 Mem:301.42M (Peak 301.42M) | Time:00:03.14 | Syncing Cylinder.148
Fra:2 Mem:301.90M (Peak 301.90M) | Time:00:03.15 | Syncing Cylinder.149
Fra:2 Mem:302.39M (Peak 302.39M) | Time:00:03.16 | Syncing Cylinder.150
Fra:2 Mem:302.88M (Peak 302.88M) | Time:00:03.17 | Syncing Cylinder.151
Fra:2 Mem:303.37M (Peak 303.37M) | Time:00:03.18 | Syncing Cylinder.152
Fra:2 Mem:303.86M (Peak 303.86M) | Time:00:03.19 | Syncing Cylinder.153
Fra:2 Mem:304.34M (Peak 304.34M) | Time:00:03.20 | Syncing Cylinder.154
Fra:2 Mem:304.83M (Peak 304.83M) | Time:00:03.21 | Syncing Cylinder.155
Fra:2 Mem:305.32M (Peak 305.32M) | Time:00:03.22 | Syncing Cylinder.156
Fra:2 Mem:305.81M (Peak 305.81M) | Time:00:03.23 | Syncing Plane.118
Fra:2 Mem:305.82M (Peak 305.82M) | Time:00:03.23 | Syncing Plane.119
Fra:2 Mem:305.84M (Peak 305.84M) | Time:00:03.23 | Syncing Plane.120
Fra:2 Mem:305.86M (Peak 305.86M) | Time:00:03.23 | Syncing Plane.121
Fra:2 Mem:305.87M (Peak 305.87M) | Time:00:03.23 | Syncing Plane.122
Fra:2 Mem:305.89M (Peak 305.89M) | Time:00:03.23 | Syncing Plane.123
Fra:2 Mem:305.91M (Peak 305.91M) | Time:00:03.23 | Syncing Cylinder.157
Fra:2 Mem:306.40M (Peak 306.40M) | Time:00:03.25 | Syncing Cylinder.158
Fra:2 Mem:306.88M (Peak 306.88M) | Time:00:03.26 | Syncing Cylinder.159
Fra:2 Mem:307.37M (Peak 307.37M) | Time:00:03.27 | Syncing Cylinder.160
Fra:2 Mem:307.86M (Peak 307.86M) | Time:00:03.27 | Syncing Plane.174
Fra:2 Mem:307.88M (Peak 307.88M) | Time:00:03.28 | Syncing Plane.175
Fra:2 Mem:307.89M (Peak 307.89M) | Time:00:03.28 | Syncing Plane.176
Fra:2 Mem:307.91M (Peak 307.91M) | Time:00:03.28 | Syncing Plane.186
Fra:2 Mem:307.93M (Peak 307.93M) | Time:00:03.28 | Syncing Plane.187
Fra:2 Mem:307.95M (Peak 307.95M) | Time:00:03.28 | Syncing Plane.188
Fra:2 Mem:307.96M (Peak 307.96M) | Time:00:03.28 | Syncing Plane.234
Fra:2 Mem:307.98M (Peak 307.98M) | Time:00:03.28 | Syncing Plane.235
Fra:2 Mem:308.00M (Peak 308.00M) | Time:00:03.28 | Syncing Plane.236
Fra:2 Mem:308.01M (Peak 308.01M) | Time:00:03.28 | Syncing Plane.246
Fra:2 Mem:308.03M (Peak 308.03M) | Time:00:03.28 | Syncing Plane.247
Fra:2 Mem:308.05M (Peak 308.05M) | Time:00:03.28 | Syncing Plane.248
Fra:2 Mem:308.07M (Peak 308.07M) | Time:00:03.28 | Syncing Plane.294
Fra:2 Mem:308.08M (Peak 308.08M) | Time:00:03.28 | Syncing Plane.295
Fra:2 Mem:308.10M (Peak 308.10M) | Time:00:03.28 | Syncing Plane.296
Fra:2 Mem:308.12M (Peak 308.12M) | Time:00:03.28 | Syncing Plane.306
Fra:2 Mem:308.13M (Peak 308.13M) | Time:00:03.28 | Syncing Plane.307
Fra:2 Mem:308.15M (Peak 308.15M) | Time:00:03.28 | Syncing Plane.308
Fra:2 Mem:308.17M (Peak 308.17M) | Time:00:03.28 | Syncing Plane.354
Fra:2 Mem:308.19M (Peak 308.19M) | Time:00:03.28 | Syncing Plane.355
Fra:2 Mem:308.20M (Peak 308.20M) | Time:00:03.28 | Syncing Plane.356
Fra:2 Mem:308.22M (Peak 308.22M) | Time:00:03.28 | Syncing Plane.366
Fra:2 Mem:308.24M (Peak 308.24M) | Time:00:03.28 | Syncing Plane.367
Fra:2 Mem:308.25M (Peak 308.25M) | Time:00:03.28 | Syncing Plane.368
Fra:2 Mem:308.27M (Peak 308.27M) | Time:00:03.28 | Syncing Plane.414
Fra:2 Mem:308.29M (Peak 308.29M) | Time:00:03.28 | Syncing Plane.415
Fra:2 Mem:308.31M (Peak 308.31M) | Time:00:03.28 | Syncing Plane.416
Fra:2 Mem:308.32M (Peak 308.32M) | Time:00:03.28 | Syncing Plane.426
Fra:2 Mem:308.35M (Peak 308.35M) | Time:00:03.28 | Syncing Plane.427
